Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
I3PB36	reviewed	CNL_PETHY	Trans-cinnamate:CoA ligase, peroxisomal (Cinnamic acid:CoA ligase) (Ph-CNL) (PhCNL) (EC 6.2.1.-) ((E)-caffeate:CoA ligase CNL) (EC 6.2.1.-) (4-coumarate:CoA ligase CNL) (EC 6.2.1.12) (Protein ACYL-ACTIVATING ENZYME) (PhAAE)	CNL AAE	Petunia hybrida (Petunia)	570
I3PB37	reviewed	4CL1_PETHY	4-coumarate:CoA ligase 1 (Ph-4CL1) (Ph4CL1) (EC 6.2.1.12) ((E)-caffeate:CoA ligase 4CL1) (EC 6.2.1.-) (Benzoate:CoA ligase 4CL1) (EC 6.2.1.25) (Trans-cinnamate:CoA ligase 4CL1) (EC 6.2.1.-) (Trans-ferulate:CoA ligase 4CL1) (EC 6.2.1.-)	4CL1	Petunia hybrida (Petunia)	544
O24146	reviewed	4CL2_TOBAC	4-coumarate--CoA ligase 2 (4CL 2) (Nt4CL-19) (Nt4CL-2) (EC 6.2.1.12) (4-coumaroyl-CoA synthase 2) (Caffeate--CoA ligase) (EC 6.2.1.-) (Cinnamate--CoA ligase) (EC 6.2.1.-) (Ferulate--CoA ligase) (EC 6.2.1.34)	4CL2	Nicotiana tabacum (Common tobacco)	542
P17814	reviewed	4CL1_ORYSJ	4-coumarate--CoA ligase 1 (4CL 1) (Os4CL1) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumaroyl-CoA synthase 1)	4CL1 4CL Os08g0245200 LOC_Os08g14760 OJ1033_B09.16	Oryza sativa subsp. japonica (Rice)	564
Q42524	reviewed	4CL1_ARATH	4-coumarate--CoA ligase 1 (4CL 1) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumarate--CoA ligase isoform 1) (At4CL1) (4-coumaroyl-CoA synthase 1)	4CL1 At1g51680 F19C24.11	Arabidopsis thaliana (Mouse-ear cress)	561
Q42982	reviewed	4CL2_ORYSJ	4-coumarate--CoA ligase 2 (4CL 2) (Os4CL2) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumaroyl-CoA synthase 2)	4CL2 4CL.2 Os02g0697400 LOC_Os02g46970 P0459B01.4-1 P0666E12.12-1	Oryza sativa subsp. japonica (Rice)	569
Q67W82	reviewed	4CL4_ORYSJ	4-coumarate--CoA ligase 4 (4CL 4) (Os4CL4) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumaroyl-CoA synthase 4) (Protein RESISTANCE TO ALUMINUM 1)	4CL4 RAL1 Os06g0656500 LOC_Os06g44620 P0460H04.31-1 P0460H04.31-2	Oryza sativa subsp. japonica (Rice)	559
Q6ETN3	reviewed	4CL3_ORYSJ	4-coumarate--CoA ligase 3 (4CL 3) (Os4CL3) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumaroyl-CoA synthase 3)	4CL3 Os02g0177600 LOC_Os02g08100 OsJ_005431 P0504A05.24	Oryza sativa subsp. japonica (Rice)	554
Q6ZAC1	reviewed	4CL5_ORYSJ	4-coumarate--CoA ligase 5 (4CL 5) (Os4CL5) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumaroyl-CoA synthase 5)	4CL5 Os08g0448000 LOC_Os08g34790 OsJ_026405 P0409A07.17 P0429B05.38	Oryza sativa subsp. japonica (Rice)	539
Q84P24	reviewed	4CLL6_ARATH	4-coumarate--CoA ligase-like 6 (EC 6.2.1.-) (4-coumarate--CoA ligase) (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 7) (At4CL7) (4-hydroxybenzoate--CoA ligase) (EC 6.2.1.27)	4CLL6 At4g19010 F13C5.180	Arabidopsis thaliana (Mouse-ear cress)	566
