target_id	length	eff_length	est_counts	tpm
Pn1.1	426	198.899	0	0
Pn1.2	237	53.5326	38	11.2625
Pn1.3	540	306.546	2	0.103515
Pn1.4	264	70.0095	3	0.679884
Pn1.5	1026	789.936	538.907	10.8241
Pn1.6	1884	1647.94	90	0.866508
Pn1.7	2301	2064.94	1068	8.20607
Pn1.8	411	185.475	138	11.8049
Pn1.9	253	63.1192	75	18.8525
Pn1.10	231	50.0741	0	0
Pn1.11	2217	1980.94	1559	12.4867
Pn1.12	1326	1089.94	731	10.6411
Pn1.13	1617	1380.94	212	2.43575
Pn1.14	981	744.96	2733	58.2073
Pn1.15	738	502.296	55	1.7373
Pn1.16	477	246.156	2	0.128911
Pn1.17	204	36.4047	9	3.92243
Pn1.18	441	212.582	0	0
Pn1.19	3099	2862.94	1276	7.07147
Pn1.20	1023	786.936	754	15.2021
Pn1.21	375	154.043	35	3.60492
Pn1.22	1014	777.936	1010	20.5991
Pn1.23	366	146.481	0	0
Pn1.24	4242	4005.94	5160.33	20.4383
Pn1.25	1305	1068.94	2	0.0296858
Pn1.26	624	388.988	0	0
Pn1.27	456	226.533	0	0
Pn1.28	219	43.5252	2	0.729055
Pn1.29	1473	1236.94	49	0.62852
Pn1.30	243	56.9773	1567	436.352
Pn1.31	1275	1038.94	1705.42	26.0443
Pn1.32	3570	3333.94	2452.94	11.6735
Pn1.33	570	335.796	0	0
Pn1.34	1461	1224.94	998.021	12.927
Pn1.35	3357	3120.94	1135.39	5.77205
Pn1.36	408	182.8	9	0.781154
Pn1.37	3663	3426.94	919.672	4.25792
Pn1.38	3300	3063.94	10559.6	54.6814
Pn1.39	210	39.0166	0	0
Pn1.40	909	673.006	1804	42.5293
Pn1.41	381	159.114	218	21.7379
Pn1.42	1176	939.936	1887.96	31.8688
Pn1.43	573	338.774	0	0
Pn1.44	1173	936.936	329	5.5713
Pn1.45	1002	765.936	0	0
Pn1.46	894	658.006	741.47	17.8786
Pn1.47	438	209.81	0	0
Pn1.48	270	73.998	0	0
Pn1.49	1947	1710.94	569	5.27654
Pn1.50	618	383.086	0	0
Pn1.51	279	80.0116	21	4.16425
Pn1.52	2499	2262.94	161	1.12882
Pn1.53	757	521.198	6	0.18265
Pn1.54	1083	846.936	1360	25.4776
Pn1.55	228	48.493	0	0
Pn1.56	1017	780.936	1229	24.9693
Pn1.57	516	283.381	61.8521	3.46301
Pn1.58	1938	1701.94	268.378	2.50192
Pn1.59	543	309.427	0	0
Pn1.60	939	703.006	179.668	4.05491
Pn1.61	360	141.542	0	0
Pn1.62	1395	1158.94	842.377	11.5323
Pn1.63	1185	948.936	22.4704	0.375703
Pn1.64	2139	1902.94	760.592	6.34159
Pn1.65	1104	867.936	733.388	13.4065
Pn1.66	555	321.123	117.727	5.8167
Pn1.67	1266	1029.94	200.215	3.0843
Pn1.68	276	77.9599	0	0
Pn1.69	2910	2673.94	687.073	4.07683
Pn1.70	672	436.579	0	0
Pn1.71	393	169.513	0	0
Pn1.72	981	744.96	10717.7	228.266
Pn1.73	519	286.253	134.325	7.44521
Pn1.74	1041	804.936	75.4095	1.4864
