target_id	length	eff_length	est_counts	tpm
Pn1.1	426	208.166	0	0
Pn1.2	237	58.4134	12	8.41904
Pn1.3	540	315.801	1	0.129772
Pn1.4	264	76.0852	1	0.538633
Pn1.5	1026	799.605	189.432	9.70892
Pn1.6	1884	1657.61	28	0.692262
Pn1.7	2301	2074.61	394	7.78313
Pn1.8	411	194.653	50	10.5269
Pn1.9	253	68.6585	28	16.7131
Pn1.10	231	54.6424	0	0
Pn1.11	2217	1990.61	619	12.7438
Pn1.12	1326	1099.61	233	8.68386
Pn1.13	1617	1390.61	110	3.24177
Pn1.14	981	754.605	733	39.8087
Pn1.15	738	511.828	21	1.68147
Pn1.16	477	255.627	1	0.16032
Pn1.17	204	39.3058	2	2.08529
Pn1.18	441	221.922	0	0
Pn1.19	3099	2872.61	578	8.24604
Pn1.20	1023	796.605	341	17.543
Pn1.21	375	163.026	17	4.27352
Pn1.22	1014	787.605	374	19.4606
Pn1.23	366	155.445	0	0
Pn1.24	4242	4015.61	2048.73	20.9087
Pn1.25	1305	1078.61	0	0
Pn1.26	624	398.402	0	0
Pn1.27	456	235.85	3	0.52129
Pn1.28	219	47.5344	2	1.72431
Pn1.29	1473	1246.61	43	1.41362
Pn1.30	243	62.111	3150	2078.43
Pn1.31	1275	1048.61	630.444	24.6393
Pn1.32	3570	3343.61	1158.7	14.202
Pn1.33	570	344.922	0	0
Pn1.34	1461	1234.61	493.146	16.3697
Pn1.35	3357	3130.61	520.477	6.81344
Pn1.36	408	192.031	10	2.13414
Pn1.37	3663	3436.61	561.086	6.69104
Pn1.38	3300	3073.61	4950.42	66.0066
Pn1.39	210	42.4954	0	0
Pn1.40	909	682.65	602	36.1403
Pn1.41	381	168.377	89	21.6621
Pn1.42	1176	949.605	882	38.0644
Pn1.43	573	347.878	1	0.117806
Pn1.44	1173	946.605	178	7.70628
Pn1.45	1002	775.605	1	0.0528388
Pn1.46	894	667.692	325.845	19.9999
Pn1.47	438	219.205	1	0.186958
Pn1.48	270	80.3256	0	0
Pn1.49	1947	1720.61	208	4.95423
Pn1.50	618	392.427	0	0
Pn1.51	279	86.6481	10	4.72971
Pn1.52	2499	2272.61	76	1.37051
Pn1.53	757	530.763	1	0.0772135
Pn1.54	1083	856.605	706	33.7767
Pn1.55	228	52.912	0	0
Pn1.56	1017	790.605	511.665	26.5228
Pn1.57	516	292.607	32.8421	4.59981
Pn1.58	1938	1711.61	90.5471	2.16803
Pn1.59	543	318.662	2	0.257214
Pn1.60	939	712.65	76.8419	4.41891
Pn1.61	360	150.423	0	0
Pn1.62	1395	1168.61	1555.43	54.5477
Pn1.63	1185	958.605	9.59413	0.410166
Pn1.64	2139	1912.61	363	7.77813
Pn1.65	1104	877.605	190.837	8.91164
Pn1.66	555	330.133	66.5	8.25518
Pn1.67	1266	1039.61	81.1047	3.19721
Pn1.68	276	84.5697	0	0
