target_id	length	eff_length	est_counts	tpm
Pn1.1	426	193.038	0	0
Pn1.2	237	53.6622	17	11.3972
Pn1.3	540	298.956	2	0.240681
Pn1.4	264	69.3646	1	0.518657
Pn1.5	1026	781.635	215.365	9.91262
Pn1.6	1884	1639.64	30	0.658252
Pn1.7	2301	2056.64	406	7.1021
Pn1.8	411	179.886	32	6.39985
Pn1.9	253	62.757	35	20.0643
Pn1.10	231	50.3281	0	0
Pn1.11	2217	1972.64	607	11.0703
Pn1.12	1326	1081.64	238	7.91615
Pn1.13	1617	1372.64	126	3.30243
Pn1.14	981	736.635	556	27.1544
Pn1.15	738	493.771	15	1.09291
Pn1.16	477	239.36	2	0.300605
Pn1.17	204	36.9947	2	1.94495
Pn1.18	441	206.327	1	0.174366
Pn1.19	3099	2854.64	508.986	6.41466
Pn1.20	1023	778.635	321	14.8316
Pn1.21	375	149.521	17	4.09038
Pn1.22	1014	769.635	538	25.1487
Pn1.23	366	142.081	0	0
Pn1.24	4242	3997.64	1888.99	16.9999
Pn1.25	1305	1060.64	1	0.0339197
Pn1.26	624	380.701	0	0
Pn1.27	456	219.882	2	0.327234
Pn1.28	219	44.2312	0	0
Pn1.29	1473	1228.64	37	1.08342
Pn1.30	243	56.9663	8778	5543.65
Pn1.31	1275	1030.64	655.687	22.8881
Pn1.32	3570	3325.64	1115	12.062
Pn1.33	570	327.812	0	0
Pn1.34	1461	1216.64	398.53	11.7847
Pn1.35	3357	3112.64	612.55	7.07997
Pn1.36	408	177.262	7	1.42069
Pn1.37	3663	3418.64	419.771	4.41751
Pn1.38	3300	3055.64	5160.52	60.7589
Pn1.39	210	39.8596	0	0
Pn1.40	909	664.682	815	44.1125
Pn1.41	381	154.49	97	22.5886
Pn1.42	1176	931.635	970	37.4579
Pn1.43	573	330.725	4	0.435122
Pn1.44	1173	928.635	183	7.08963
Pn1.45	1002	757.635	2	0.0949703
Pn1.46	894	649.682	437.101	24.2047
Pn1.47	438	203.73	0	0
Pn1.48	270	72.9735	0	0
Pn1.49	1947	1702.64	300	6.33895
Pn1.50	618	374.862	0	0
Pn1.51	279	78.7155	10	4.57044
Pn1.52	2499	2254.64	40	0.638266
Pn1.53	757	512.738	3	0.210496
Pn1.54	1083	838.635	684	29.3428
Pn1.55	228	48.7956	0	0
Pn1.56	1017	772.635	577	26.867
Pn1.57	516	275.818	23.4706	3.0614
Pn1.58	1938	1693.64	86.8744	1.8454
Pn1.59	543	301.857	0	0
Pn1.60	939	694.659	69.9429	3.62235
Pn1.61	360	137.295	0	0
Pn1.62	1395	1150.64	1510.23	47.2196
Pn1.63	1185	940.635	6.23658	0.23853
Pn1.64	2139	1894.64	380	7.21566
Pn1.65	1104	859.635	199.012	8.32881
Pn1.66	555	313.35	80.3571	9.22599
Pn1.67	1266	1021.64	93.1818	3.28136
Pn1.68	276	76.7953	0	0
Pn1.69	2910	2665.64	337.288	4.55216
Pn1.70	672	428.193	0	0
Pn1.71	393	164.475	1	0.218735
Pn1.72	981	736.635	2401.78	117.3
Pn1.73	519	278.735	30.5469	3.94269
Pn1.74	1041	796.635	31.8856	1.43997
Pn1.75	840	595.701	121.45	7.33478
Pn1.76	768	523.721	153	10.5102
Pn1.77	498	258.899	61.5452	8.55228
Pn1.78	1200	955.635	1.2441	0.046836
Pn1.79	420	187.727	61.6487	11.8145
Pn1.80	2490	2245.64	2424.06	38.8349
Pn1.81	300	92.8158	0	0
Pn1.82	312	101.151	29	10.3144
Pn1.83	933	688.659	498.883	26.0623
Pn1.84	1395	1150.64	376.903	11.7845
Pn1.85	219	44.2312	0	0
Pn1.86	747	502.771	51.5	3.68515
Pn1.87	2313	2068.64	555.026	9.65266
Pn1.88	2991	2746.64	321.191	4.20708
Pn1.89	801	556.721	5.1	0.329572
Pn1.90	579	336.605	171	18.2765
Pn1.91	708	463.989	10	0.775373
Pn1.92	579	336.605	11	1.17568
Pn1.93	1665	1420.64	315.342	7.98577
Pn1.94	237	53.6622	15.75	10.5592
Pn1.95	570	327.812	435.221	47.7643
Pn1.96	336	118.855	105	31.7826
Pn1.97	864	619.682	78.5585	4.56081
Pn1.98	237	53.6622	4	2.68169
Pn1.99	2376	2131.64	240.978	4.06708
Pn1.100	1983	1738.64	193.989	4.01409
Pn1.101	972	727.659	100.029	4.94556
Pn1.102	822	577.721	292.109	18.1905
Pn1.103	1452	1207.64	39.0512	1.16337
Pn1.104	294	88.6926	4.74608	1.92515
Pn1.105	426	193.038	6	1.11822
Pn1.106	486	247.597	67.5946	9.82163
Pn1.107	1854	1609.64	479.596	10.7193
Pn1.108	615	371.936	0	0
Pn1.109	1626	1381.64	143.991	3.74939
Pn1.110	843	598.682	6466.74	388.604
Pn1.111	702	458.019	128.889	10.124
Pn1.112	474	236.567	42	6.38723
Pn1.113	3627	3382.64	807.73	8.59071
Pn1.114	612	368.984	17.8754	1.74287
Pn1.115	300	92.8158	48.227	18.6933
Pn1.116	921	676.682	677.751	36.0333
