target_id	length	eff_length	est_counts	tpm
Pn1.1	426	209.011	5	0.439147
Pn1.2	237	55.1956	28	9.31244
Pn1.3	540	318.693	3	0.172806
Pn1.4	264	72.2079	2	0.508458
Pn1.5	1026	802.827	501.54	11.4681
Pn1.6	1884	1660.83	88	0.972676
Pn1.7	2301	2077.83	1035	9.1441
Pn1.8	411	195.011	98	9.22521
Pn1.9	253	64.988	73	20.6205
Pn1.10	231	51.5933	0	0
Pn1.11	2217	1993.83	1498	13.7922
Pn1.12	1326	1102.83	567	9.43812
Pn1.13	1617	1393.83	217	2.85799
Pn1.14	981	757.827	1869.58	45.2882
Pn1.15	738	514.966	44	1.5685
Pn1.16	477	257.553	2	0.142552
Pn1.17	204	36.9266	5	2.48565
Pn1.18	441	223.126	0	0
Pn1.19	3099	2875.83	1188	7.58339
Pn1.20	1023	799.827	734	16.8465
Pn1.21	375	162.001	43	4.87261
Pn1.22	1014	790.827	925	21.4719
Pn1.23	366	154.064	0	0
Pn1.24	4242	4018.83	4845.56	22.1337
Pn1.25	1305	1081.83	1	0.0169688
Pn1.26	624	401.465	1	0.0457259
Pn1.27	456	237.44	0	0
Pn1.28	219	44.7535	1	0.410188
Pn1.29	1473	1249.83	103	1.51285
Pn1.30	243	58.7615	3140	980.949
Pn1.31	1275	1051.83	1462.97	25.533
Pn1.32	3570	3346.83	2302	12.6265
Pn1.33	570	348.097	1	0.0527363
Pn1.34	1461	1237.83	1133	16.8027
Pn1.35	3357	3133.83	945.584	5.53905
Pn1.36	408	192.204	12	1.14612
Pn1.37	3663	3439.83	803.811	4.2897
Pn1.38	3300	3076.83	7986.72	47.6514
Pn1.39	210	39.8794	0	0
Pn1.40	909	685.827	1408	37.6875
Pn1.41	381	167.449	171	18.7466
Pn1.42	1176	952.827	1741	33.5424
Pn1.43	573	351.032	1	0.0522954
Pn1.44	1173	949.827	277	5.35359
Pn1.45	1002	778.827	0	0
Pn1.46	894	670.827	635.473	17.3899
Pn1.47	438	220.316	0	0
Pn1.48	270	76.3786	0	0
