Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=Piperamide synthase; AltName: Full=BAHD-type acyl transferase 1; Short=PipBAHD1; AltName: Full=Hexanoyl-CoA:piperidine piperoyl transferase; AltName: Full=Octanoyl-CoA:piperidine piperoyl transferase; AltName: Full=Piperoyl-CoA:piperidine piperoyl transferase; Short=Piperidine N-piperoyltransferase [Piper nigrum],Piper nigrum,944,944,100%,0.0,100.00,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P0DO57.1?report=genbank&log$=prottop&blast_rank=1&RID=KNC2M38501N"",""P0DO57.1"")"
RecName: Full=Piperine synthase; Short=Piperidine N-piperoyltransferase; Short=Piperoyl-CoA:piperidine piperoyl transferase; AltName: Full=BAHD-type acyl transferase 2; Short=PipBAHD2 [Piper nigrum],Piper nigrum,587,587,99%,0.0,65.31,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P0DO56.1?report=genbank&log$=prottop&blast_rank=2&RID=KNC2M38501N"",""P0DO56.1"")"
benzyl alcohol O-benzoyltransferase-like [Ziziphus jujuba var. spinosa],Ziziphus jujuba var. spinosa,419,419,94%,1e-139,50.34,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015899457.1?report=genbank&log$=prottop&blast_rank=3&RID=KNC2M38501N"",""XP_015899457.1"")"
RecName: Full=Benzyl alcohol O-benzoyltransferase; AltName: Full=Benzoyl coenzyme A:benzyl alcohol benzoyl transferase [Clarkia breweri],Clarkia breweri,414,414,97%,1e-137,47.59,456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8GT21.1?report=genbank&log$=prottop&blast_rank=4&RID=KNC2M38501N"",""Q8GT21.1"")"
alcohol acyltransferase 1 [Lilium sp.],Lilium sp.,413,413,98%,2e-137,49.24,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WKK95849.1?report=genbank&log$=prottop&blast_rank=5&RID=KNC2M38501N"",""WKK95849.1"")"
benzyl alcohol O-benzoyltransferase [Vigna angularis],Vigna angularis,412,412,94%,5e-137,47.85,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017435845.1?report=genbank&log$=prottop&blast_rank=6&RID=KNC2M38501N"",""XP_017435845.1"")"
Benzyl alcohol O-benzoyltransferase [Morella rubra],Morella rubra,412,412,95%,8e-137,49.10,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAB1205269.1?report=genbank&log$=prottop&blast_rank=7&RID=KNC2M38501N"",""KAB1205269.1"")"
benzyl alcohol O-benzoyltransferase-like [Coffea arabica],Coffea arabica,412,412,97%,1e-136,47.70,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027067227.1?report=genbank&log$=prottop&blast_rank=8&RID=KNC2M38501N"",""XP_027067227.1"")"
benzyl alcohol O-benzoyltransferase-like [Coffea arabica],Coffea arabica,410,410,95%,3e-136,48.32,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027125788.1?report=genbank&log$=prottop&blast_rank=9&RID=KNC2M38501N"",""XP_027125788.1"")"
benzyl alcohol O-benzoyltransferase-like [Vigna radiata var. radiata],Vigna radiata var. radiata,410,410,94%,3e-136,47.85,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014517352.1?report=genbank&log$=prottop&blast_rank=10&RID=KNC2M38501N"",""XP_014517352.1"")"
benzyl alcohol O-benzoyltransferase [Benincasa hispida],Benincasa hispida,410,410,95%,4e-136,48.33,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038901429.1?report=genbank&log$=prottop&blast_rank=11&RID=KNC2M38501N"",""XP_038901429.1"")"
benzyl alcohol O-benzoyltransferase [Manihot esculenta],Manihot esculenta,409,409,96%,8e-136,47.03,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021622269.1?report=genbank&log$=prottop&blast_rank=12&RID=KNC2M38501N"",""XP_021622269.1"")"
benzyl alcohol O-benzoyltransferase-like [Coffea arabica],Coffea arabica,409,409,95%,1e-135,47.87,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027071064.1?report=genbank&log$=prottop&blast_rank=13&RID=KNC2M38501N"",""XP_027071064.1"")"
benzyl alcohol O-benzoyltransferase [Hevea brasiliensis],Hevea brasiliensis,409,409,97%,1e-135,47.16,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021662621.2?report=genbank&log$=prottop&blast_rank=14&RID=KNC2M38501N"",""XP_021662621.2"")"
benzyl alcohol O-benzoyltransferase-like isoform X1 [Vigna umbellata],Vigna umbellata,408,408,94%,2e-135,47.62,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047153226.1?report=genbank&log$=prottop&blast_rank=15&RID=KNC2M38501N"",""XP_047153226.1"")"
benzyl alcohol O-benzoyltransferase-like [Coffea arabica],Coffea arabica,408,408,99%,2e-135,46.68,456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027072741.1?report=genbank&log$=prottop&blast_rank=16&RID=KNC2M38501N"",""XP_027072741.1"")"
hypothetical protein MLD38_039724 [Melastoma candidum],Melastoma candidum,408,408,95%,2e-135,49.00,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI4304174.1?report=genbank&log$=prottop&blast_rank=17&RID=KNC2M38501N"",""KAI4304174.1"")"
benzyl alcohol O-benzoyltransferase-like [Coffea arabica],Coffea arabica,408,408,97%,3e-135,47.05,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027067990.1?report=genbank&log$=prottop&blast_rank=18&RID=KNC2M38501N"",""XP_027067990.1"")"
benzyl alcohol O-benzoyltransferase [Cornus florida],Cornus florida,408,408,95%,3e-135,48.44,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_059625146.1?report=genbank&log$=prottop&blast_rank=19&RID=KNC2M38501N"",""XP_059625146.1"")"
benzyl alcohol O-benzoyltransferase-like isoform X1 [Coffea arabica],Coffea arabica,407,407,99%,4e-135,46.68,456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027072652.1?report=genbank&log$=prottop&blast_rank=20&RID=KNC2M38501N"",""XP_027072652.1"")"
benzyl alcohol O-benzoyltransferase-like [Prosopis cineraria],Prosopis cineraria,407,407,95%,5e-135,49.44,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_054816160.1?report=genbank&log$=prottop&blast_rank=21&RID=KNC2M38501N"",""XP_054816160.1"")"
benzyl alcohol O-benzoyltransferase-like [Vigna umbellata],Vigna umbellata,407,407,94%,5e-135,48.41,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047153225.1?report=genbank&log$=prottop&blast_rank=22&RID=KNC2M38501N"",""XP_047153225.1"")"
benzyl alcohol O-benzoyltransferase [Mangifera indica],Mangifera indica,407,407,97%,6e-135,47.71,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044473792.1?report=genbank&log$=prottop&blast_rank=23&RID=KNC2M38501N"",""XP_044473792.1"")"
putative acyltransferase [Clitoria ternatea],Clitoria ternatea,407,407,95%,6e-135,47.32,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF49304.1?report=genbank&log$=prottop&blast_rank=24&RID=KNC2M38501N"",""BAF49304.1"")"
benzyl alcohol O-benzoyltransferase-like [Vigna radiata var. radiata],Vigna radiata var. radiata,407,407,94%,8e-135,47.73,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014517984.1?report=genbank&log$=prottop&blast_rank=25&RID=KNC2M38501N"",""XP_014517984.1"")"
hypothetical protein DVH24_034838 [Malus domestica],Malus domestica,406,406,95%,1e-134,46.99,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RXH81417.1?report=genbank&log$=prottop&blast_rank=26&RID=KNC2M38501N"",""RXH81417.1"")"
benzyl alcohol O-benzoyltransferase-like [Cucumis melo var. makuwa],Cucumis melo var. makuwa,406,406,95%,1e-134,47.88,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA0066341.1?report=genbank&log$=prottop&blast_rank=27&RID=KNC2M38501N"",""KAA0066341.1"")"
benzyl alcohol O-benzoyltransferase-like [Coffea eugenioides],Coffea eugenioides,405,405,99%,2e-134,46.37,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027178953.1?report=genbank&log$=prottop&blast_rank=28&RID=KNC2M38501N"",""XP_027178953.1"")"
benzyl alcohol O-benzoyltransferase-like [Actinidia eriantha],Actinidia eriantha,405,405,98%,2e-134,47.71,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057463577.1?report=genbank&log$=prottop&blast_rank=29&RID=KNC2M38501N"",""XP_057463577.1"")"
hypothetical protein FNV43_RR16834 [Rhamnella rubrinervis],Rhamnella rubrinervis,405,405,94%,3e-134,48.65,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF3442916.1?report=genbank&log$=prottop&blast_rank=30&RID=KNC2M38501N"",""KAF3442916.1"")"
benzyl alcohol O-benzoyltransferase-like [Vigna unguiculata],Vigna unguiculata,405,405,94%,3e-134,48.08,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027931720.1?report=genbank&log$=prottop&blast_rank=31&RID=KNC2M38501N"",""XP_027931720.1"")"
Benzyl alcohol O-benzoyltransferase [Morella rubra],Morella rubra,405,405,94%,4e-134,49.32,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAB1205273.1?report=genbank&log$=prottop&blast_rank=32&RID=KNC2M38501N"",""KAB1205273.1"")"
benzyl alcohol O-benzoyltransferase-like [Cucumis melo],Cucumis melo,405,405,95%,5e-134,47.88,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001315395.1?report=genbank&log$=prottop&blast_rank=33&RID=KNC2M38501N"",""NP_001315395.1"")"
HXXXD-type acyl-transferase family protein [Actinidia rufa],Actinidia rufa,405,405,99%,5e-134,46.67,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GFS45755.1?report=genbank&log$=prottop&blast_rank=34&RID=KNC2M38501N"",""GFS45755.1"")"
benzyl alcohol O-benzoyltransferase-like [Phoenix dactylifera],Phoenix dactylifera,405,405,100%,5e-134,48.51,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038982864.1?report=genbank&log$=prottop&blast_rank=35&RID=KNC2M38501N"",""XP_038982864.1"")"
hypothetical protein C1H46_006419 [Malus baccata],Malus baccata,404,404,95%,6e-134,46.55,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TQE08011.1?report=genbank&log$=prottop&blast_rank=36&RID=KNC2M38501N"",""TQE08011.1"")"
benzyl alcohol O-benzoyltransferase [Pyrus x bretschneideri],Pyrus x bretschneideri,404,404,95%,6e-134,46.55,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009372579.1?report=genbank&log$=prottop&blast_rank=37&RID=KNC2M38501N"",""XP_009372579.1"")"
