Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,689,689,100%,0.0,100.00,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007246364.1?report=genbank&log$=prottop&blast_rank=1&RID=M3CA9EDC016"",""WP_007246364.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,688,688,100%,0.0,99.71,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044393564.1?report=genbank&log$=prottop&blast_rank=2&RID=M3CA9EDC016"",""WP_044393564.1"")"
Ldh family oxidoreductase [Pseudomonas],Pseudomonas,687,687,100%,0.0,99.42,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057419217.1?report=genbank&log$=prottop&blast_rank=3&RID=M3CA9EDC016"",""WP_057419217.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,685,685,100%,0.0,99.42,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_060412753.1?report=genbank&log$=prottop&blast_rank=4&RID=M3CA9EDC016"",""WP_060412753.1"")"
Ureidoglycolate dehydrogenase [Pseudomonas syringae pv. persicae],Pseudomonas syringae pv. persicae,684,684,100%,0.0,99.42,385,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RMR18068.1?report=genbank&log$=prottop&blast_rank=5&RID=M3CA9EDC016"",""RMR18068.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,684,684,100%,0.0,99.13,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_024666484.1?report=genbank&log$=prottop&blast_rank=6&RID=M3CA9EDC016"",""WP_024666484.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,682,682,100%,0.0,99.13,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054070200.1?report=genbank&log$=prottop&blast_rank=7&RID=M3CA9EDC016"",""WP_054070200.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,682,682,100%,0.0,98.83,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103408614.1?report=genbank&log$=prottop&blast_rank=8&RID=M3CA9EDC016"",""WP_103408614.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,681,681,100%,0.0,98.83,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122236903.1?report=genbank&log$=prottop&blast_rank=9&RID=M3CA9EDC016"",""WP_122236903.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,680,680,100%,0.0,98.83,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011103966.1?report=genbank&log$=prottop&blast_rank=10&RID=M3CA9EDC016"",""WP_011103966.1"")"
