Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	A0A7J6WQT2	(S)-canadine synthase OS=Thalictrum thalictroides OX=46969 GN=FRX31_010697 PE=4 SV=1	Thalictrum thalictroides	466	1273	52.2	71.3	1.9e-169
2	SP	Q948Y1	(S)-canadine synthase OS=Coptis japonica OX=3442 GN=CYP719A1 PE=1 SV=1	Coptis japonica	491	1267	49.8	69.4	3.6e-168
3	TR	A0A7J6WF91	(S)-canadine synthase OS=Thalictrum thalictroides OX=46969 GN=FRX31_014856 PE=3 SV=1	Thalictrum thalictroides	488	1260	49.4	67.6	3.7e-167
4	TR	A0A2G5DHT1	(S)-canadine synthase OS=Aquilegia coerulea OX=218851 GN=AQUCO_02000479v1 PE=3 SV=1	Aquilegia coerulea	494	1252	49.1	70.3	7.4e-166
5	TR	A0A2G5DDA9	(S)-canadine synthase OS=Aquilegia coerulea OX=218851 GN=AQUCO_02200105v1 PE=4 SV=1	Aquilegia coerulea	491	1238	48.0	68.0	8.8e-164
6	TR	A0A200QMM5	Cytochrome P450 OS=Macleaya cordata OX=56857 GN=BVC80_41g7 PE=3 SV=1	Macleaya cordata	490	1228	49.6	68.2	2.8e-162
7	TR	A0A7J6VE74	(S)-canadine synthase OS=Thalictrum thalictroides OX=46969 GN=FRX31_027019 PE=3 SV=1	Thalictrum thalictroides	492	1228	50.3	70.4	3e-162
8	TR	A0A7J6V0U2	(S)-canadine synthase OS=Thalictrum thalictroides OX=46969 GN=FRX31_032409 PE=4 SV=1	Thalictrum thalictroides	464	1221	49.7	70.2	1.3e-161
9	TR	A0A2G5F9N2	(S)-canadine synthase OS=Aquilegia coerulea OX=218851 GN=AQUCO_00100277v1 PE=3 SV=1	Aquilegia coerulea	494	1221	47.4	68.6	3.6e-161
10	TR	A0A443PH96	S-canadine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01919200 PE=3 SV=1	Cinnamomum micranthum f. kanehirae	498	1221	50.3	67.3	4.2e-161
11	TR	A0A2G5CPL9	(S)-canadine synthase OS=Aquilegia coerulea OX=218851 GN=AQUCO_04200188v1 PE=3 SV=1	Aquilegia coerulea	494	1220	47.4	68.4	5.2e-161
12	TR	A0A443PH60	S-canadine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01919800 PE=3 SV=1	Cinnamomum micranthum f. kanehirae	491	1216	50.1	67.1	1.9e-160
13	TR	A0A443PH93	S-canadine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01919300 PE=3 SV=1	Cinnamomum micranthum f. kanehirae	491	1216	50.1	67.1	1.9e-160
14	TR	A0A7J6X6B7	Cytochrome p450 OS=Thalictrum thalictroides OX=46969 GN=FRX31_005205 PE=3 SV=1	Thalictrum thalictroides	621	1227	49.3	70.4	2.9e-160
15	TR	A0A834ZFH2	Cytochrome P450 OS=Tetracentron sinense OX=13715 GN=HHK36_008411 PE=3 SV=1	Tetracentron sinense	498	1214	47.6	67.5	4.8e-160
