Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytochrome P450 dependent monooxygenase [Piper nigrum],Piper nigrum,810,810,100%,0.0,76.91,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QQS74306.1?report=genbank&log$=prottop&blast_rank=1&RID=M3BKBE2Z016"",""QQS74306.1"")"
methysticin synthase [Piper methysticum],Piper methysticum,806,806,100%,0.0,77.10,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QCX36377.1?report=genbank&log$=prottop&blast_rank=2&RID=M3BKBE2Z016"",""QCX36377.1"")"
putative N-methyltransferase [synthetic construct],synthetic construct,519,519,97%,9e-178,50.61,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58189.1?report=genbank&log$=prottop&blast_rank=3&RID=M3BKBE2Z016"",""ANY58189.1"")"
(S)-canadine synthase [Thalictrum thalictroides],Thalictrum thalictroides,513,513,93%,9e-176,52.25,466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5199716.1?report=genbank&log$=prottop&blast_rank=4&RID=M3BKBE2Z016"",""KAF5199716.1"")"
putative N-methyltransferase [synthetic construct],synthetic construct,513,513,99%,1e-175,49.40,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58188.1?report=genbank&log$=prottop&blast_rank=5&RID=M3BKBE2Z016"",""ANY58188.1"")"
(S)-canadine synthase [Thalictrum thalictroides],Thalictrum thalictroides,509,509,99%,4e-174,49.40,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5195557.1?report=genbank&log$=prottop&blast_rank=6&RID=M3BKBE2Z016"",""KAF5195557.1"")"
RecName: Full=(S)-canadine synthase; AltName: Full=(S)-tetrahydrocolumbamine oxidase (methylenedioxy-bridge-forming); AltName: Full=Cytochrome P450 719A1 [Coptis japonica],Coptis japonica,509,509,98%,5e-174,49.80,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q948Y1.1?report=genbank&log$=prottop&blast_rank=7&RID=M3BKBE2Z016"",""Q948Y1.1"")"
(S)-canadine synthase [Coptis chinensis],Coptis chinensis,508,508,98%,1e-173,49.80,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGL76711.1?report=genbank&log$=prottop&blast_rank=8&RID=M3BKBE2Z016"",""AGL76711.1"")"
(S)-canadine synthase [Thalictrum flavum subsp. glaucum],Thalictrum flavum subsp. glaucum,504,504,98%,6e-172,49.09,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAU20771.1?report=genbank&log$=prottop&blast_rank=9&RID=M3BKBE2Z016"",""AAU20771.1"")"
putative CYP719 [synthetic construct],synthetic construct,504,504,98%,7e-172,48.28,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58180.1?report=genbank&log$=prottop&blast_rank=10&RID=M3BKBE2Z016"",""ANY58180.1"")"
