Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,396,396,92%,4e-129,45.43,538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9755851.1?report=genbank&log$=prottop&blast_rank=1&RID=M3C6TRUW013"",""KAH9755851.1"")"
beta-cubebene synthase isoform X3 [Magnolia sinica],Magnolia sinica,392,392,96%,2e-128,44.93,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_058072968.1?report=genbank&log$=prottop&blast_rank=2&RID=M3C6TRUW013"",""XP_058072968.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,392,392,95%,3e-128,43.46,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9783272.1?report=genbank&log$=prottop&blast_rank=3&RID=M3C6TRUW013"",""KAH9783272.1"")"
(-)-germacrene D synthase-like isoform X3 [Quercus lobata],Quercus lobata,392,392,95%,3e-128,42.92,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030943352.1?report=genbank&log$=prottop&blast_rank=4&RID=M3C6TRUW013"",""XP_030943352.1"")"
valencene synthase-like isoform X2 [Diospyros lotus],Diospyros lotus,391,391,97%,7e-128,42.94,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_052178611.1?report=genbank&log$=prottop&blast_rank=5&RID=M3C6TRUW013"",""XP_052178611.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,390,390,95%,1e-127,43.46,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9783289.1?report=genbank&log$=prottop&blast_rank=6&RID=M3C6TRUW013"",""KAH9783289.1"")"
(-)-germacrene d synthase [Quercus suber],Quercus suber,388,388,96%,8e-127,42.74,481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/POE90769.1?report=genbank&log$=prottop&blast_rank=7&RID=M3C6TRUW013"",""POE90769.1"")"
beta-caryophyllene synthase [Quercus suber],Quercus suber,388,388,96%,8e-127,42.98,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/POE44558.1?report=genbank&log$=prottop&blast_rank=8&RID=M3C6TRUW013"",""POE44558.1"")"
hypothetical protein RHGRI_034987 [Rhododendron griersonianum],Rhododendron griersonianum,385,385,95%,2e-125,43.51,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5523020.1?report=genbank&log$=prottop&blast_rank=9&RID=M3C6TRUW013"",""KAG5523020.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,385,385,95%,2e-125,44.09,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9743950.1?report=genbank&log$=prottop&blast_rank=10&RID=M3C6TRUW013"",""KAH9743950.1"")"
hypothetical protein OIU77_007609 [Salix suchowensis],Salix suchowensis,385,385,96%,2e-125,45.04,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ6339699.1?report=genbank&log$=prottop&blast_rank=11&RID=M3C6TRUW013"",""KAJ6339699.1"")"
(-)-germacrene D synthase-like isoform X3 [Quercus robur],Quercus robur,383,383,95%,9e-125,43.13,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050262032.1?report=genbank&log$=prottop&blast_rank=12&RID=M3C6TRUW013"",""XP_050262032.1"")"
hypothetical protein OIU77_007611 [Salix suchowensis],Salix suchowensis,381,381,96%,6e-124,44.19,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ6339701.1?report=genbank&log$=prottop&blast_rank=13&RID=M3C6TRUW013"",""KAJ6339701.1"")"
probable terpene synthase 2 isoform X2 [Ricinus communis],Ricinus communis,381,381,95%,7e-124,42.04,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_048228526.1?report=genbank&log$=prottop&blast_rank=14&RID=M3C6TRUW013"",""XP_048228526.1"")"
hypothetical protein TIFTF001_043002 [Ficus carica],Ficus carica,381,381,99%,3e-123,41.39,533,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GMN20107.1?report=genbank&log$=prottop&blast_rank=15&RID=M3C6TRUW013"",""GMN20107.1"")"
(e)-beta-farnesene synthase [Quercus suber],Quercus suber,376,376,95%,5e-122,42.83,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/POF00508.1?report=genbank&log$=prottop&blast_rank=16&RID=M3C6TRUW013"",""POF00508.1"")"
hypothetical protein HHK36_033302 [Tetracentron sinense],Tetracentron sinense,375,375,95%,9e-122,41.44,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8364721.1?report=genbank&log$=prottop&blast_rank=17&RID=M3C6TRUW013"",""KAF8364721.1"")"
Sesquiterpene synthase [Melia azedarach],Melia azedarach,374,374,95%,6e-121,42.41,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ4718967.1?report=genbank&log$=prottop&blast_rank=18&RID=M3C6TRUW013"",""KAJ4718967.1"")"
(-)-germacrene D synthase-like isoform X2 [Senna tora],Senna tora,373,373,95%,9e-121,41.13,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7822839.1?report=genbank&log$=prottop&blast_rank=19&RID=M3C6TRUW013"",""KAF7822839.1"")"
valencene synthase-like isoform X2 [Diospyros lotus],Diospyros lotus,370,370,95%,1e-119,42.38,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_052178426.1?report=genbank&log$=prottop&blast_rank=20&RID=M3C6TRUW013"",""XP_052178426.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,368,368,97%,7e-119,42.47,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9651325.1?report=genbank&log$=prottop&blast_rank=21&RID=M3C6TRUW013"",""KAH9651325.1"")"
hypothetical protein ZIOFF_004252 [Zingiber officinale],Zingiber officinale,368,368,96%,7e-119,41.39,475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6539099.1?report=genbank&log$=prottop&blast_rank=22&RID=M3C6TRUW013"",""KAG6539099.1"")"
beta-caryophyllene synthase isoform X2 [Sesamum indicum],Sesamum indicum,367,367,97%,1e-118,40.98,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020553832.1?report=genbank&log$=prottop&blast_rank=23&RID=M3C6TRUW013"",""XP_020553832.1"")"
alpha-copaene synthase-like isoform X3 [Mercurialis annua],Mercurialis annua,367,367,97%,1e-118,42.47,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_055960452.1?report=genbank&log$=prottop&blast_rank=24&RID=M3C6TRUW013"",""XP_055960452.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,367,367,97%,2e-118,42.27,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9803307.1?report=genbank&log$=prottop&blast_rank=25&RID=M3C6TRUW013"",""KAH9803307.1"")"
alpha-humulene synthase-like isoform X2 [Zingiber officinale],Zingiber officinale,364,364,96%,2e-117,40.71,468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_042432513.1?report=genbank&log$=prottop&blast_rank=26&RID=M3C6TRUW013"",""XP_042432513.1"")"
hypothetical protein ZIOFF_008658 [Zingiber officinale],Zingiber officinale,364,364,96%,3e-117,41.25,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6534755.1?report=genbank&log$=prottop&blast_rank=27&RID=M3C6TRUW013"",""KAG6534755.1"")"
Sesquiterpene synthase [Melia azedarach],Melia azedarach,363,363,95%,9e-117,41.53,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ4718961.1?report=genbank&log$=prottop&blast_rank=28&RID=M3C6TRUW013"",""KAJ4718961.1"")"
alpha-humulene synthase-like isoform X2 [Zingiber officinale],Zingiber officinale,362,362,95%,1e-116,40.34,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_042399435.1?report=genbank&log$=prottop&blast_rank=29&RID=M3C6TRUW013"",""XP_042399435.1"")"
hypothetical protein Tsubulata_007541 [Turnera subulata],Turnera subulata,363,363,95%,1e-116,41.21,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ4821988.1?report=genbank&log$=prottop&blast_rank=30&RID=M3C6TRUW013"",""KAJ4821988.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,365,365,97%,2e-116,42.56,578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9651327.1?report=genbank&log$=prottop&blast_rank=31&RID=M3C6TRUW013"",""KAH9651327.1"")"
hypothetical protein KIW84_073540 [Pisum sativum],Pisum sativum,362,362,98%,3e-116,40.53,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI5387446.1?report=genbank&log$=prottop&blast_rank=32&RID=M3C6TRUW013"",""KAI5387446.1"")"
(-)-germacrene D synthase-like isoform X2 [Syzygium oleosum],Syzygium oleosum,361,361,99%,5e-116,40.80,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_056166783.1?report=genbank&log$=prottop&blast_rank=33&RID=M3C6TRUW013"",""XP_056166783.1"")"
hypothetical protein HHK36_004909 [Tetracentron sinense],Tetracentron sinense,360,360,95%,8e-116,39.75,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8408840.1?report=genbank&log$=prottop&blast_rank=34&RID=M3C6TRUW013"",""KAF8408840.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,359,359,97%,2e-115,41.86,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9651326.1?report=genbank&log$=prottop&blast_rank=35&RID=M3C6TRUW013"",""KAH9651326.1"")"
hypothetical protein ZIOFF_008654 [Zingiber officinale],Zingiber officinale,362,423,95%,6e-115,40.34,607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6534751.1?report=genbank&log$=prottop&blast_rank=36&RID=M3C6TRUW013"",""KAG6534751.1"")"
